,place,src,address,location,canton,event,date,artists,genre,coordinates
12500,None,EventsCh,None,Basel,BS,Jazzfestival-Basel,2014-04-29,"['Wolfgang Dauner', 'Dieter Ilg', 'Flo Dauner']",rock,"(47.5595986, 7.5885761)"
12600,None,EventsCh,None,Winterthur,ZH,The-Bare-Tunes,2014-05-02,"['Mace Mitchell', 'Tsering Purtag']",,"(47.4988196, 8.7236889)"
12700,None,EventsCh,None,Zürich,ZH,Konzert,2014-05-05,"['Maki Wiederkehr', 'Daniel Meller', 'Flurin Cuonz']",orchestral,"(47.3768866, 8.541694)"
12800,None,EventsCh,None,Basel,BS,Benefiz-Konzert-Klavierrezital,2014-05-09,['Josiane Kneuss'],orchestral,"(47.5595986, 7.5885761)"
12900,None,EventsCh,None,Basel,BS,El-calderón-afrolatino,2014-05-11,"['Alcides Toirac', 'Amik Guerra', 'Ohlê Gagneux', 'Jorge-Luís Gonzalez', 'Leonardo Salazar', 'Sebastien Gagneux', 'Lizandro Paredes', 'Jorge Leysan Demestre']",,"(47.5595986, 7.5885761)"
13000,None,EventsCh,None,Zürich,ZH,Dan-Wilde,2014-05-15,"['Dan Wilde', 'Tom Copson']",rock,"(47.3768866, 8.541694)"
13100,None,EventsCh,None,Zürich,ZH,Katharina-Busch,2014-05-17,"['Katharina Busch', 'Katharina Busch', 'Levin Deger', 'Thomas Hauser', 'Andre Bader']",pop,"(47.3768866, 8.541694)"
13200,None,EventsCh,None,Bern,BE,The-Creepshow,2014-05-20,['The Creepshow'],rock,"(46.9479739, 7.4474468)"
13300,None,EventsCh,None,Zürich,ZH,Frantz'-Joyce,2014-05-23,"['Peter K Frey', 'Jürg Gasser', 'Alex Huber', 'Jonas Labhart', 'Christian Weber']",electronic,"(47.3768866, 8.541694)"
13400,None,EventsCh,None,Zürich,ZH,Bernhoft,2014-05-25,['Bernhoft'],rock,"(47.3768866, 8.541694)"
13500,None,EventsCh,None,Therwil,BL,Europäisches-Jugendchor-Festival-Basel,2014-05-30,['Jugendchor Hamrahilö'],orchestral,"(47.4990611, 7.5532808)"
13600,None,EventsCh,None,Zürich,ZH,The-Natural-Dub-Cluster,2014-06-03,['The Natural Dub Cluster'],electronic,"(47.3768866, 8.541694)"
13700,None,EventsCh,None,Wädenswil,ZH,Les-Soeurs-Boulay,2014-06-06,['Les Soeurs Boulay'],folk,"(47.2296871, 8.6718189)"
13800,None,EventsCh,None,Basel,BS,Mittagskonzert,2014-06-11,['Csongor Szanto'],orchestral,"(47.5595986, 7.5885761)"
13900,None,EventsCh,None,None,None,Festi'neuch,2014-06-14,"['Snoop Dogg', 'Woodkid', 'Kery James', 'Thomas Azier', 'Carbon Airways', 'Mark Berube', 'After-Party mit Greem', 'Feadz']",pop,"(46.6377269, 9.279877)"
14000,None,EventsCh,None,Feuerthalen,ZH,Session-Club-Dimitri,2014-06-19,"[""Y'urs""]",pop,"(47.6885343, 8.6497285)"
14100,None,EventsCh,None,Zürich,ZH,Festspiele-Zürich-Kammermusik-Tag,2014-06-22,"['Andreas Janke', 'Peter McGuire', 'Katja Fuchs', 'Ewa Grzywna-Groblewska']",orchestral,"(47.3768866, 8.541694)"
14200,None,EventsCh,None,Baden,AG,Tune-Up,2014-06-27,"['Marc Reinhard', 'Sigi Nikitscher']",,"(47.47288, 8.30809)"
14300,None,EventsCh,None,Basel,BS,Zlang-Zlut,2014-07-03,"['Beat Schneider', 'Fran Lorkovic']",,"(47.5595986, 7.5885761)"
14400,None,EventsCh,None,Montreux,VD,Montreux-Jazz-Festival,2014-07-09,"['Goldfrapp', 'London Grammar']",pop,"(46.4312213, 6.9106799)"
14500,None,EventsCh,None,Montreux,VD,Montreux-Jazz-Festival,2014-07-15,"['Mavis Staples', 'Van Morrison']",r&b and soul,"(46.4312213, 6.9106799)"
14600,None,EventsCh,None,Basel,BS,20-Jahre-Bird's-Eye-Club,2014-07-20,"['Alex Hendriksen Quartet', 'Christoph Ràcz']",,"(47.5595986, 7.5885761)"
14700,None,EventsCh,None,Nyon,VD,Paléo-Festival,2014-07-25,"['Crew Peligrosos', 'Palenke Soultribe', 'Family Atlantica', 'Dorotop DJ Set']",rock,"(46.3832683, 6.2347852)"
14800,None,EventsCh,None,Zürich,ZH,Hooverphonic,2014-07-30,['Hooverphonic'],electronic,"(47.3768866, 8.541694)"
14900,None,EventsCh,None,St Moritz,GR,Festival-da-Jazz,2014-08-06,"['Mario Biondi', 'Mario Biondi', 'Claudio Filippini', 'Tommaso Scannapieco', 'Lorenzo Tucci']",r&b and soul,"(46.4907973, 9.8355079)"
15000,None,EventsCh,None,Zürich,ZH,Jenny-Chi,2014-08-13,"['Jenny Chi', 'André Siqueira', 'Thomas Silvestri', 'Ralph Sonderegger', 'Mauro Martins']",,"(47.3768866, 8.541694)"
15100,None,EventsCh,None,Winterthur,ZH,Winterthurer-Musikfestwochen,2014-08-19,['5 In Love'],jazz,"(47.4988196, 8.7236889)"
15200,None,EventsCh,None,Zürich,ZH,Sukarma,2014-08-24,['Sukarma'],,"(47.3768866, 8.541694)"
15300,None,EventsCh,None,Lucerne,LU,Alte-Musik-1,2014-08-30,"['Valer Sabadus', 'Axel Wolf']",orchestral,"(47.0501682, 8.3093072)"
15400,None,EventsCh,None,Basel,BS,Orgelspiel-zum-Feierabend,2014-09-05,['Max Sonnleitner'],orchestral,"(47.5595986, 7.5885761)"
15500,None,EventsCh,None,Winterthur,ZH,Hell-on-Earth-Tour,2014-09-08,"['Unearth', 'Shadows Fall', 'The Acacia Strain', 'War of Ages']",rock,"(47.4988196, 8.7236889)"
15600,None,EventsCh,None,Lucerne,LU,Piano-Entertainment,2014-09-13,['Mark Tenger'],pop,"(47.0501682, 8.3093072)"
15700,None,EventsCh,None,Zug,ZG,Akkordeon-Festival-Zug,2014-09-17,"['Chamito', 'Esteban ""Chamito"" Reyes', 'Arnaud Surrel', 'Luis Cruz', 'Diadji Seydi']",rock,"(47.1661672, 8.5154946)"
15800,None,EventsCh,None,None,None,Abokonzert,2014-09-20,['Stella Doufexis'],orchestral,"(46.6377269, 9.279877)"
15900,None,EventsCh,None,Aarau,AG,Symphoniekonzert-Pathétique,2014-09-23,['Nicolas Altstaedt'],r&b and soul,"(47.390434, 8.0457015)"
16000,None,EventsCh,None,Zürich,ZH,Eichenberger-Widmer-Zimmerlin,2014-09-26,"['Markus Eichenberger', 'Jacques Widmer', 'Alfred Zimmerlin']",,"(47.3768866, 8.541694)"
16100,None,EventsCh,None,Frenkendorf,BL,Barocknacht,2014-09-28,"['Regula Konrad', 'Pamina Blum', 'Eriko Wakita']",orchestral,"(47.5035123, 7.7131296)"
16200,None,EventsCh,None,Basel,BS,Salsa-All-Styles,2014-10-02,['20-21 Uhr Tanzkurs Bailar Casino'],,"(47.5595986, 7.5885761)"
16300,None,EventsCh,None,Lucerne,LU,Eduardo-Machado-Quintet,2014-10-05,"['Eduardo Machado', 'Beto Sápio', 'Gil Reis', 'Vinícius Melo', 'Alexandre Cunha']",unknown,"(47.0501682, 8.3093072)"
16400,None,EventsCh,None,Aarau,AG,Einar-Stray-Orchestra,2014-10-10,['Einar Stray Orchestra'],pop,"(47.390434, 8.0457015)"
16500,None,EventsCh,None,Zürich,ZH,Egopusher,2014-10-14,"['Tobias Preisig', 'Alessandro Giannelli']",,"(47.3768866, 8.541694)"
16600,None,EventsCh,None,Bern,BE,Dillon,2014-10-17,['Dillon'],electronic,"(46.9479739, 7.4474468)"
16700,None,EventsCh,None,Zürich,ZH,Gilberto-Gil,2014-10-21,['Gilberto Gil'],latin,"(47.3768866, 8.541694)"
16800,None,EventsCh,None,Basel,BS,Garlands,2014-10-24,"['Rahel Binetti', 'Fabian Kristmann', 'Bernhard Affolter']",orchestral,"(47.5595986, 7.5885761)"
16900,None,EventsCh,None,Zürich,ZH,Konzert,2014-10-26,"['Katharina Weissenbacher', 'Dimitri Ashkenazy', 'Katia Braunschweiler']",orchestral,"(47.3768866, 8.541694)"
17000,None,EventsCh,None,Zürich,ZH,Lunchkonzert,2014-10-30,"['Haika Lübcke', 'Isaac Duarte', 'Felix-Andreas Genner', 'Hans Agreda', 'Mischa Greull', 'Seung-Yeun Huh']",orchestral,"(47.3768866, 8.541694)"
17100,None,EventsCh,None,Aarau,AG,Worldly-Savages,2014-10-31,['Worldly Savages'],,"(47.390434, 8.0457015)"
17200,None,EventsCh,None,Bern,BE,Barbez,2014-11-02,['Barbez'],rock,"(46.9479739, 7.4474468)"
17300,None,EventsCh,None,Zürich,ZH,The-Place-Waves-Reach-With-Their-Hands,2014-11-06,"['Stephanie Pfeffer', 'Rupert Charlesworth', 'Jonathan Sells', 'Edward Rushton']",orchestral,"(47.3768866, 8.541694)"
17400,None,EventsCh,None,Basel,BS,Dieter-Thomas-Kuhn-&-Band,2014-11-08,['Dieter Thomas Kuhn & Band'],,"(47.5595986, 7.5885761)"
17500,None,EventsCh,None,Pratteln,BL,Michael-Schenker,2014-11-11,['Michael Schenker'],rock,"(47.5183198, 7.6919889)"
17600,None,EventsCh,None,Zürich,ZH,Letzte-Instanz,2014-11-14,"['Letzte Instanz', 'Darkhaus']",rock,"(47.3768866, 8.541694)"
17700,None,EventsCh,None,Zürich,ZH,Tage-für-Neue-Musik,2014-11-16,"['Boglárka Pecze', 'Eva Boesch', 'Sun-Young Nam']",orchestral,"(47.3768866, 8.541694)"
17800,None,EventsCh,None,Basel,BS,John-Scofield-&-Medesky-Martin-Wood,2014-11-19,"['John Scofield & Medesky-Martin-Wood', 'John Scofield', 'John Medeski', 'Chris Wood', 'Billy Martin']",jazz,"(47.5595986, 7.5885761)"
17900,None,EventsCh,None,Bern,BE,Afrique-m'bi-fé,2014-11-21,"['Yoro Massa', 'Djam Rekk Sound DJ-Kollektiv']",,"(46.9479739, 7.4474468)"
18000,None,EventsCh,None,Baden,AG,Christy-Doran's-New-Bag,2014-11-24,"['Sarah Buechi', 'Vincent Membrez', 'Christy Doran', 'Lionel Friedli']",,"(47.47288, 8.30809)"
18100,None,EventsCh,None,Zürich,ZH,Deafkid,2014-11-27,['Deafkid'],pop,"(47.3768866, 8.541694)"
18200,None,EventsCh,None,Baden,AG,D'accordeon,2014-11-29,"['Peter Meier', 'Gen Wüst', 'Roland Sauter', 'Jürg Käser', 'Walter Hotz', 'René Tanner']",,"(47.47288, 8.30809)"
18300,None,EventsCh,None,Basel,BS,Noël-Festliche-Barockmusik,2014-12-02,"['R', 'Julia Bauer', 'Alek Fester', 'Julia Marion', 'Junko Takayama', 'Alexandra Ivanova']",orchestral,"(47.5595986, 7.5885761)"
18400,None,EventsCh,None,Zürich,ZH,Adventskonzert-Weihnachtsoratorium,2014-12-05,"['Annette Labusch', 'Daniel Bentz', 'Sascha Litschi']",orchestral,"(47.3768866, 8.541694)"
18500,None,EventsCh,None,Basel,BS,Festival-Giacinto-Scelsi-2015,2014-12-08,"['Andreas Liebig', 'Michiko Hirayama', '', 'Kornelia Bruggman']",orchestral,"(47.5595986, 7.5885761)"
18600,None,EventsCh,None,None,None,Stiller-Has,2014-12-12,"['Endo Anaconda', 'Schifer Schafer', 'Salome Buser', 'Markus Fürst']",pop,"(46.6377269, 9.279877)"
18700,None,EventsCh,None,Ennetbürgen,NW,Bürgenstock-Momente,2014-12-14,"['Nils Mönkemeyer', 'Sabine Erdmann', 'Klaus-Dieter Brandt']",orchestral,"(46.9851573, 8.413513)"
18800,None,EventsCh,None,Basel,BS,Radio-Osaka-Meets-Oliver-Pellet-Quartet,2014-12-18,"['Andi Czech', 'Stephan Thelen', 'Christian Kuntner', 'Benno Kaiser', 'Or Pellet', 'Roberto Koch', 'Johannes Gutfleisch']",,"(47.5595986, 7.5885761)"
18900,None,EventsCh,None,Zürich,ZH,Weihnachts-Sinfoniekonzert,2014-12-21,['Sergej Nakariakov'],orchestral,"(47.3768866, 8.541694)"
19000,None,EventsCh,None,Langenthal,BE,Silvesterkonzert-Edith-Piaf,2014-12-31,['Madeleine Lienhard'],pop,"(47.2120786, 7.7905623)"
19100,None,EventsCh,None,Zürich,ZH,Werner-und-Company,2015-01-09,['Werner und Company'],pop,"(47.3768866, 8.541694)"
19200,None,EventsCh,None,Basel,BS,Dialog,2015-01-12,['Edicson Ruiz'],orchestral,"(47.5595986, 7.5885761)"
19300,None,EventsCh,None,Wil,SG,Silla,2015-01-17,['Silla'],unknown,"(47.4635617, 9.0479097)"
19400,None,EventsCh,None,Thun,BE,Tinu-Heiniger,2015-01-21,['Tinu Heiniger'],pop,"(46.7579868, 7.6279881)"
19500,None,EventsCh,None,Bern,BE,Anton-Sword-&-The-We-Ours,2015-01-24,['Anton Sword & The We Ours'],,"(46.9479739, 7.4474468)"
19600,None,EventsCh,None,Basel,BS,Mears-Su-Terzic-Moret,2015-01-28,"['Nat Su', 'Adrian Mears', 'Patrice Moret', 'Dejan Terzic']",,"(47.5595986, 7.5885761)"
19700,None,EventsCh,None,Basel,BS,Hell-&-dunkel,2015-02-01,"['Thomas Zehetmair', 'Ruth Killius']",orchestral,"(47.5595986, 7.5885761)"
19800,None,EventsCh,None,Baden,AG,One-of-a-Million,2015-02-05,['Berthold Seliger'],,"(47.47288, 8.30809)"
19900,None,EventsCh,None,Zürich,ZH,Great-Black-Waters,2015-02-07,['Great Black Waters'],,"(47.3768866, 8.541694)"
20000,None,EventsCh,None,None,None,Painting-Jazz,2015-02-13,"['Sandy Patton', 'Thomas Dürst']",,"(46.6377269, 9.279877)"
20100,None,EventsCh,None,Basel,BS,Bänz-Oester-&-The-Rainmakers,2015-02-18,"['Ganesh Geymeier', 'Afrika Mkhize', 'Bänz Oester', 'Ayanda Sikade']",,"(47.5595986, 7.5885761)"
20200,None,EventsCh,None,Lucerne,LU,A-Tribute-to-Hank-Mobley-&-Grant-Green,2015-02-22,"['Eric Alexander', 'Helmut Kagerer', 'Olivier Hutman', 'Viktor Nyberg', 'Bernd Reiter']",jazz,"(47.0501682, 8.3093072)"
20300,None,EventsCh,None,St Gallen,SG,Mirel-Wagner,2015-02-27,['Mirel Wagner'],pop,"(47.4244818, 9.3767173)"
20400,None,EventsCh,None,Lucerne,LU,Christoph-Stiefel's-Isorhythm-Orchestra,2015-03-03,"['Sarah Buechi', 'Matthieu Michel', 'Adrian Mears', 'Domenic Landolf', 'Christoph Stiefel']",,"(47.0501682, 8.3093072)"
20500,None,EventsCh,None,Bern,BE,Rabe-Fest,2015-03-06,['Asian Dub Foundation Soundsystem'],asian,"(46.9479739, 7.4474468)"
20600,None,EventsCh,None,Lausanne,VD,Saint-Motel,2015-03-09,['Saint Motel'],pop,"(46.5196535, 6.6322734)"
20700,None,EventsCh,None,Basel,BS,Cojazz-feat.-Ann-Malcom,2015-03-13,"['Ann Malcolm', 'Andy Scherrer', 'Stephan Kurmann', 'Jorge Rossy']",electronic,"(47.5595986, 7.5885761)"
20800,None,EventsCh,None,Basel,BS,Trabant,2015-03-15,"['Christoph Bösch', 'Toshiko Sakakibara', 'Max Asselborn', 'Michael Büttler']",orchestral,"(47.5595986, 7.5885761)"
20900,None,EventsCh,None,Zürich,ZH,Orchester-le-Phénix,2015-03-20,['Giora Feidman'],r&b and soul,"(47.3768866, 8.541694)"
21000,None,EventsCh,None,Thun,BE,Sinfoniekonzert,2015-03-22,['Jonas Tschanz'],orchestral,"(46.7579868, 7.6279881)"
21100,None,EventsCh,None,Basel,BS,Horizont-Mozart,2015-03-27,"['Felix Renggli', 'Heinz Holliger', 'Esther Hoppe', 'Jürg Dähler', 'Daniel Haefliger']",orchestral,"(47.5595986, 7.5885761)"
21200,None,EventsCh,None,Zürich,ZH,Festivitäten-I,2015-03-29,['Peter Vögeli'],orchestral,"(47.3768866, 8.541694)"
21300,None,EventsCh,None,Bern,BE,Souls-Revival,2015-04-02,"['Souls Revival', 'Gianni Pontillo', 'Stefan Schroff', 'Luca Leombruni', 'Flavio Mezzodi']",,"(46.9479739, 7.4474468)"
21400,None,EventsCh,None,Zürich,ZH,Konzert,2015-04-07,['Irina Georgieva'],orchestral,"(47.3768866, 8.541694)"
21500,None,EventsCh,None,Winterthur,ZH,Junge-Solisten,2015-04-11,"['Beatriz Blanco', 'Alexander Boldachev']",orchestral,"(47.4988196, 8.7236889)"
21600,None,EventsCh,None,Basel,BS,Mimiko-Ay,2015-04-15,['Tamar Halperin'],orchestral,"(47.5595986, 7.5885761)"
21700,None,EventsCh,None,Zürich,ZH,Moscow-Art-Trio,2015-04-17,"['Arkady Shilkloper', 'Sergey Starostin', 'Misha Alperin', 'Sonia Borisova']",rock,"(47.3768866, 8.541694)"
21800,None,EventsCh,None,Zürich,ZH,Danksonntag,2015-04-19,"['Fabian Gubser', 'Felix Gubser']",orchestral,"(47.3768866, 8.541694)"
21900,None,EventsCh,None,Zürich,ZH,Triple-T,2015-04-23,"['Benni Kammerer', 'Cato Nordby', 'Stepe Diener', 'Chrigu Müller']",,"(47.3768866, 8.541694)"
22000,None,EventsCh,None,Vevey,VD,Black-Milk,2015-04-25,"['Black Milk & The Nat Turner', 'Aaron Abernathy']",,"(46.4628333, 6.8419192)"
22100,None,EventsCh,None,Lucerne,LU,Electric-Force,2015-04-30,"['Mathieu Friz', 'Simon Boss', 'Rafael Scheiwiller', 'Nici Struchen']",electronic,"(47.0501682, 8.3093072)"
22200,None,EventsCh,None,Bern,BE,King-Pepe-&-Le-Rex,2015-05-03,"['Benedikt Reising', 'Marc Stucki', 'Andreas Tschopp', 'Marc Unternährer', 'Rico Baumann', 'Pepe']",latin,"(46.9479739, 7.4474468)"
22300,None,EventsCh,None,Zürich,ZH,Rangleklods,2015-05-07,['Rangleklods'],pop,"(47.3768866, 8.541694)"
22400,None,EventsCh,None,Basel,BS,Goldberg-Variationen,2015-05-09,['Gérard Wyss'],orchestral,"(47.5595986, 7.5885761)"
22500,None,EventsCh,None,Basel,BS,Mimiko-Lobet-Gott-in-seinen-Reichen,2015-05-13,"['Françoise Matile', 'Jenny Högström', 'Stefan Kahle', 'Akinobu Ono', 'Valerio Zanolli']",orchestral,"(47.5595986, 7.5885761)"
22600,None,EventsCh,None,Liebefeld,BE,Grégoire-Maret-Quartet,2015-05-15,"['Grégoire Maret', 'Jon Cowherd', 'Robert Kubiszyn', 'Kendrick Scott']",jazz,"(46.933331, 7.416668)"
22700,None,EventsCh,None,Bern,BE,Konzert,2015-05-21,['Heidrun Wirth-Metzler'],orchestral,"(46.9479739, 7.4474468)"
22800,None,EventsCh,None,Lucerne,LU,The-Retro-Festival,2015-05-23,['Mike & the Mechanics'],rock,"(47.0501682, 8.3093072)"
22900,None,EventsCh,None,Basel,BS,Withered-Hand,2015-05-27,"['Withered Hand', 'Woodpigeon']",rock,"(47.5595986, 7.5885761)"
23000,None,EventsCh,None,Lausanne,VD,Kill-Your-Idols,2015-05-29,['C.A.R'],pop,"(46.5196535, 6.6322734)"
23100,None,EventsCh,None,Basel,BS,Masterrezital,2015-06-01,['Martina Anselmo'],orchestral,"(47.5595986, 7.5885761)"
23200,None,EventsCh,None,Zürich,ZH,Kammermusik-Konzert,2015-06-05,"['Saskia Hein', 'Mihai Cocea', 'Sara Franchini']",orchestral,"(47.3768866, 8.541694)"
23300,None,EventsCh,None,Zürich,ZH,Soul-Music,2015-06-08,['David Kilowsky'],pop,"(47.3768866, 8.541694)"
23400,None,EventsCh,None,Dietikon,ZH,Feierabendmusik-in-der-Kirche,2015-06-12,['Bernhard Hörler'],orchestral,"(47.4053885, 8.39977)"
23500,None,EventsCh,None,Winterthur,ZH,Trio-Todo-Tango,2015-06-14,"['Sven Angelo Mindeci', 'Jojo Kunz', 'Urs Stirnimann']",,"(47.4988196, 8.7236889)"
23600,None,EventsCh,None,Basel,BS,Masterrezital,2015-06-19,['Céline Pasche'],orchestral,"(47.5595986, 7.5885761)"
23700,None,EventsCh,None,Winterthur,ZH,Ghost-Town-Trio-feat.-Hendrix-Ackle,2015-06-24,"['Hendrix Ackle', 'Urs Vögeli', 'Claude Meier', 'Emanuel Künzi']",,"(47.4988196, 8.7236889)"
23800,None,EventsCh,None,Boswil,AG,Boswil,2015-06-28,"['Esther Hoppe', 'Jürg Dähler', 'Benjamin Schmid', 'Ariane Haering']",orchestral,"(47.302973, 8.320458)"
23900,None,EventsCh,None,Stansstad,NW,Gästival,2015-07-02,"['Franziska Brücker', 'Simon Borer', 'Anna Trauffer', 'Emanuel Küenzi', 'Christoph Utzinger']",,"(46.977594, 8.3374207)"
24000,None,EventsCh,None,None,None,Cloud-Rat,2015-07-07,['Cloud Rat'],rock,"(46.6377269, 9.279877)"
24100,None,EventsCh,None,Zürich,ZH,Werner-und-Company,2015-07-13,['Werner und Company'],pop,"(47.3768866, 8.541694)"
24200,None,EventsCh,None,Lucerne,LU,Blue-Balls-Festival,2015-07-18,"['Zaz', 'Paul & Gabriel']",pop,"(47.0501682, 8.3093072)"
24300,None,EventsCh,None,Pratteln,BL,Sabaton,2015-07-24,"['Sabaton', 'Serenity', 'Brainstorm', 'Serious Black']",rock,"(47.5183198, 7.6919889)"
24400,None,EventsCh,None,Basel,BS,Roche'n'Jazz,2015-07-31,"['Alex Hendriksen', 'Fabian Gisler']",,"(47.5595986, 7.5885761)"
24500,None,EventsCh,None,Ernen,VS,Musikdorf-Ernen-Kammermusik-Plus,2015-08-09,"['Klaus Dickbauer', 'Benny Omerszell', 'Arnulf Ballhorn', 'works by Johannes Dickbauer']",orchestral,"(46.3985001, 8.1457733)"
24600,None,EventsCh,None,Zürich,ZH,Klänge-zum-Aufsehen,2015-08-18,['Andreas Jost'],orchestral,"(47.3768866, 8.541694)"
24700,None,EventsCh,None,Zumikon,ZH,Sommerkonzert,2015-08-23,"['René Oswald', 'Martin Rabensteiner']",orchestral,"(47.3298953, 8.623969)"
