	place	address	location	event	date	artists	genre	coordinates
0	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Showcase	2017-01-29	['Mark Faermont', 'Affani']		
1	 2. Akt Restaurant & Bar	Selnaustrasse 2		Mucho Stylez	2017-01-29	['Mucho Stylez']		
2	 2. Akt Restaurant & Bar	Selnaustrasse 2		Mucho Stylez 	2017-01-29	['Mucho Stylez']		
3	 2. Akt Restaurant & Bar	Selnaustrasse 2		Zweiter Akt	2017-01-29	['Mucho Stylez']		
4	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Night	2017-01-29	[' Sonny Dima', 'Mark Faermont']		
5	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Night	2017-01-29	['Carlos Russo', ' Mark Faermont']		
6	 2. Akt Restaurant & Bar	Selnaustrasse 2		Tonka UND 3333 Tage Saxer	2017-01-29	[' Danny Coleman', 'Tonka', ' Mark Faermont']		
7	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Night	2017-01-29	[' David Eye', 'Carlos Russo']		
8	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Parade	2017-01-29	[' Danny Coleman', ' Niall Redmond', ' Mark Faermont', 'Elektroschneider']		
9	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Night	2017-01-29	[' DJ Le Baron', 'Mark Faermont']		
10	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Night Featuring Niall Redmond	2017-01-29	[' Danny Coleman', ' Mirco Esposito', 'Niall Redmond']		
11	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Night Pres. AnÃ«k	2017-01-29	[' DJ Le Baron', ' Ales', ' Sven The Freak', ' Mark Faermont', 'Anek']		
12	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Night	2017-01-29	[' Michael Canzian', 'Mark Faermont']		
13	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Night	2017-01-29	['Mark Faermont']		
14	 2. Akt Restaurant & Bar	Selnaustrasse 2		Party Rolf Feat. Steven Stone	2017-01-29	['Rolf Imhof', ' Steven Stone']		
15	 2. Akt Restaurant & Bar	Selnaustrasse 2		Deeptown Music Night	2017-01-29	[' Mark Faermont', 'Progamode']		
16	 2. Akt Restaurant & Bar	Selnaustrasse 2		5 Years Place 2 Be - Akt Edition	2017-01-29	['Belair', 'Namito', 'Juzz', 'Ryan K', 'SCP Dance Project']		
